symbol,name,slug,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,circulating_supply,total_supply,max_supply,last_updated
A,Vaulta,vaulta,0.5433004598107144,41738327.05090097,-0.37710549,3.30085784,10.14864079,860177903.5385644,1583245307.4644,2100000000.0,2100000000.0,2025-08-09 13:31:00+00:00
AAVE,Aave,aave,301.45790101751965,515448100.787969,-0.73470166,6.65192709,18.54762203,4585463005.535212,15210956.45547111,16000000.0,,2025-08-09 13:30:00+00:00
ADA,Cardano,cardano,0.8105705351925843,1019128706.5432961,-0.5989102,2.50826492,13.96032353,28716349034.323627,35427329007.833824,44990971191.62728,45000000000.0,2025-08-09 13:31:00+00:00
AERO,Aerodrome Finance,aerodrome-finance,1.1188363325272144,286490706.4329591,-1.12945595,21.87379945,46.47274057,982990971.1492275,878583348.2265087,1712434979.247157,,2025-08-09 13:31:00+00:00
ALGO,Algorand,algorand,0.27492371078923566,132813119.73153245,-0.55643631,4.48386955,18.34662617,2392511113.0918674,8702454605.401548,10000000000.0,10000000000.0,2025-08-09 13:31:00+00:00
APT,Aptos,aptos,4.835462803593002,226867057.36346662,-0.16967005,4.47745759,16.11800501,3251573287.852144,672443035.9460225,1169220196.854387,,2025-08-09 13:31:00+00:00
ARB,Arbitrum,arbitrum,0.4606923356321851,368499910.7612415,-1.08266658,10.10916651,22.60764472,2372675924.2101407,5150239630.0,10000000000.0,,2025-08-09 13:31:00+00:00
ATOM,Cosmos,cosmos,4.762980391268124,147305662.62970135,-0.42849223,4.25633399,15.9080383,2194091541.8462844,460655170.0,460655170.0,,2025-08-09 13:31:00+00:00
AVAX,Avalanche,avalanche,24.577704160562387,619091649.4591467,-0.79598003,5.31873213,14.43128053,10378557041.069618,422275285.48916084,457277985.48916084,715748719.0,2025-08-09 13:31:00+00:00
BCH,Bitcoin Cash,bitcoin-cash,575.5307420519111,370049278.73555225,-2.25289325,-0.90990693,6.99698558,11458268521.515032,19909046.875,19909046.875,21000000.0,2025-08-09 13:31:00+00:00
BGB,Bitget Token,bitget-token-new,4.518200507960386,113217069.16872464,-0.71557834,0.77266649,5.30676962,5150712596.030167,1139992035.9787908,1139992036.1,1139992036.1,2025-08-09 13:31:00+00:00
BNB,BNB,bnb,812.7699112033924,2417620805.4938865,-0.20632419,3.13175977,7.98793186,113209117336.48573,139288027.0,139288027.0,,2025-08-09 13:30:00+00:00
BONK,Bonk,bonk1,2.7740928270938312e-05,575083777.7000164,1.31250161,7.1613944,9.15387791,2232308237.0630336,80469846403864.69,87995369401697.17,88872433754423.19,2025-08-09 13:31:00+00:00
BTC,Bitcoin,bitcoin,117038.92126487369,58669901274.08831,-0.12800288,0.21789637,3.37132622,2329540113999.778,19903978.0,19903978.0,21000000.0,2025-08-09 13:30:00+00:00
CAKE,PancakeSwap,pancakeswap,2.886525258493525,92789250.9059292,-0.65443118,4.34167426,12.47438751,994951973.7941751,344688469.59386724,364084938.5019253,450000000.0,2025-08-09 13:31:00+00:00
CFX,Conflux,conflux-network,0.2154145098743031,190949752.35541987,-1.67934928,1.60363081,13.1149219,1103791351.6386826,5124034366.5,5124034361.7,,2025-08-09 13:31:00+00:00
CRO,Cronos,cronos,0.16005582592557463,59682183.71912038,-0.66325746,4.65114107,21.46772916,5181750004.776692,32374641627.766724,97543210869.0,100000000000.0,2025-08-09 13:30:00+00:00
CRV,Curve DAO Token,curve-dao-token,0.994574268261322,349232259.49979913,-0.34342966,9.03353064,12.46669491,1364961594.7008512,1372407911.866679,2292697845.912131,3030303030.299,2025-08-09 13:30:00+00:00
DAI,Dai,multi-collateral-dai,1.0000344649499295,22367914132.162285,-0.01300419,-0.00928602,0.00920716,5365567620.311072,5365382702.664872,5365382702.664872,,2025-08-09 13:31:00+00:00
DOGE,Dogecoin,dogecoin,0.24057630831660987,2952540273.1950803,-0.82678545,7.8094196,21.27758722,36193833830.003006,150446376383.70523,150446376383.70523,,2025-08-09 13:31:00+00:00
DOT,Polkadot,polkadot-new,4.117982909497424,317897511.0724298,-0.46044929,5.85503923,16.21427754,6611093884.418122,1605420427.843633,1605420427.843633,,2025-08-09 13:31:00+00:00
ENA,Ethena,ethena,0.7364766601029292,1443139505.3730803,-0.61380731,19.13730694,35.22393686,4876856383.619084,6621875000.0,15000000000.0,15000000000.0,2025-08-09 13:31:00+00:00
ENS,Ethereum Name Service,ethereum-name-service,29.40781586994333,186268444.48272386,-0.98960017,6.80914917,16.7348732,1076005935.2539704,36589114.26855461,100000000.0,,2025-08-09 13:31:00+00:00
ETC,Ethereum Classic,ethereum-classic,23.273742224086533,376100916.35764503,-1.07109074,7.61900088,17.96433981,3561920768.2239966,153044608.5519364,210700000.0,210700000.0,2025-08-09 13:30:00+00:00
ETH,Ethereum,ethereum,4187.954664555822,51661000700.01607,-0.35044806,7.07785197,19.71259241,505524248702.2327,120709102.46012633,120709102.46012633,,2025-08-09 13:31:00+00:00
FARTCOIN,Fartcoin,fartcoin,1.1121066809813986,226584875.22698447,-0.25280754,9.15753386,19.70881422,1112104741.467347,999998256.0,1000000000.0,1000000000.0,2025-08-09 13:31:00+00:00
FDUSD,First Digital USD,first-digital-usd,0.9982058183646579,6872468124.285847,-0.00120176,0.0071472,0.10904631,1449859964.4632678,1452465952.200666,1452465952.200666,,2025-08-09 13:30:00+00:00
FET,Artificial Superintelligence Alliance,artificial-superintelligence-alliance,0.7167183359989476,91751946.24778816,-0.35582167,3.80267601,14.6962033,1704370604.4743075,2378020093.6240735,2714493896.672,2719493897.0,2025-08-09 13:31:00+00:00
FIL,Filecoin,filecoin,2.6276684751248762,205588735.60876274,-0.60317082,5.89999652,14.15206668,1796604225.7771888,683725608.0,1959162913.0,,2025-08-09 13:30:00+00:00
FLOKI,FLOKI,floki-inu,0.00012187956816060606,132633518.6623481,-0.83336356,5.34361928,17.87919925,1162783977.0454538,9540434008702.773,9658901501622.225,,2025-08-09 13:31:00+00:00
FLR,Flare,flare,0.023313413382787394,13666501.35923695,-0.4960164,-0.09603884,6.24804019,1668912623.0062113,71585940488.59409,103758453182.68625,,2025-08-09 13:31:00+00:00
FORM,Four,binaryx-new,3.9862227196571522,9853481.40992254,-0.10992922,1.11369319,6.26243399,1522207928.3504155,381867255.144574,572301922.0959299,580000000.0,2025-08-09 13:31:00+00:00
GALA,Gala,gala,0.017846591045085982,128508565.29760076,-0.55518312,8.12905831,20.52315275,813493462.3906909,45582568700.96681,45582568700.96681,50000000000.0,2025-08-09 13:30:00+00:00
GRT,The Graph,the-graph,0.10050959510814436,60937332.30810544,0.23209899,7.14924533,12.23839291,1047533308.631877,10422221953.085896,11322266803.41902,,2025-08-09 13:31:00+00:00
GT,GateToken,gatetoken,17.116070157683463,16582486.39802305,-0.12630008,1.43685387,2.84225711,2103746247.3301272,122910588.0,133600000.0,300000000.0,2025-08-09 13:31:00+00:00
HBAR,Hedera,hedera,0.26631895136100475,389858659.0129045,-0.70712857,1.78509636,12.93977526,11289972995.281164,42392675915.79394,50000000000.0,50000000000.0,2025-08-09 13:31:00+00:00
HYPE,Hyperliquid,hyperliquid,43.84918312593128,289618633.1131512,0.74561023,5.74121514,16.08046579,14642477915.728945,333928180.0,999993930.0,1000000000.0,2025-08-09 13:30:00+00:00
ICP,Internet Computer,internet-computer,5.666747642582023,94582382.59054038,-0.73906827,5.60513663,13.38480032,3039012348.704513,536288633.33674115,536288633.33674115,,2025-08-09 13:31:00+00:00
IMX,Immutable,immutable-x,0.5827773298555914,39841408.48624673,-0.13826185,8.74848882,19.90656635,1116263859.8126714,1915420869.3898141,2000000000.0,2000000000.0,2025-08-09 13:31:00+00:00
INJ,Injective,injective,14.607672900613016,126163903.4587038,-1.48402077,4.04630393,17.91051947,1460342724.0375912,99970935.41,100000000.0,,2025-08-09 13:31:00+00:00
IOTA,IOTA,iota,0.20811670296999463,21485544.31927817,-0.50318795,4.22082048,16.45971532,822855495.7518559,3953817661.0,4600000000.0,,2025-08-09 13:31:00+00:00
IP,Story,story-protocol,6.547472819553501,89867436.7981505,0.77199462,-0.70199066,13.5267499,1936385321.57151,295745454.0,1010985037.0,,2025-08-09 13:30:00+00:00
JASMY,JasmyCoin,jasmy,0.01652834353016387,59531817.99790302,-0.21724758,4.68507636,13.44452751,817243940.5131004,49444999677.16958,50000000000.0,50000000000.0,2025-08-09 13:31:00+00:00
JUP,Jupiter,jupiter-ag,0.529359072761841,65474718.02793098,-0.6346474,6.4770635,18.40219759,1618924147.7970872,3058272222.2000003,6999203380.737848,7000000000.0,2025-08-09 13:31:00+00:00
KAIA,Kaia,kaia,0.15355004718924575,23403900.72871457,-0.21265348,2.51111813,8.3382791,934981626.8548908,6089100224.779185,6089100119.348895,,2025-08-09 13:31:00+00:00
KAS,Kaspa,kaspa,0.0962813924134248,69214110.15139735,-0.54954845,6.11773982,15.2652798,2556758209.058362,26555060588.23746,26555060588.23746,28704026601.0,2025-08-09 13:31:00+00:00
KCS,KuCoin Token,kucoin-token,11.35697761261635,9844247.51706843,-0.61276276,10.22026564,7.65106805,1447128048.79112,127421933.73556715,142421933.73556715,200000000.0,2025-08-09 13:31:00+00:00
LDO,Lido DAO,lido-dao,1.1737859383816969,184740475.19427523,-0.71777861,6.90049664,31.50483285,1051581749.2634478,895888862.5921584,1000000000.0,,2025-08-09 13:31:00+00:00
LEO,UNUS SED LEO,unus-sed-leo,8.990386464223501,2224435.49779758,0.00325806,0.10002779,0.367882,8298505200.849397,923042099.9,985239504.0,,2025-08-09 13:31:00+00:00
LINK,Chainlink,chainlink,21.139427935779207,1413937719.0388699,0.29195468,8.79661461,32.22549183,14334645458.640694,678099970.4527867,1000000000.0,,2025-08-09 13:31:00+00:00
LTC,Litecoin,litecoin,123.41886748402277,864498065.1686264,-1.70326304,0.5901154,14.24083348,9400508376.622936,76167514.48347135,84000000.0,84000000.0,2025-08-09 13:30:00+00:00
M,MemeCore,memecore,0.4508513820714789,14144804.05472491,-3.46895875,-0.39340174,28.70829329,712031709.4120907,1579304706.0,5000000000.0,10000000000.0,2025-08-09 13:31:00+00:00
MNT,Mantle,mantle,1.0629671232895817,373981467.7365454,-1.0309476,-0.53332787,53.89344635,3577728772.7083097,3365794382.836841,6219316794.99,6219316795.0,2025-08-09 13:31:00+00:00
NEAR,NEAR Protocol,near-protocol,2.805310304043286,212733693.89702517,-1.01228052,5.94086723,17.44333605,3483776104.722478,1241850536.0,1264735859.0,,2025-08-09 13:31:00+00:00
NEXO,Nexo,nexo,1.3535546395701752,12299052.11306141,-0.10706849,0.40438222,5.02926028,874593698.9952806,646145839.5746847,1000000000.0,1000000000.0,2025-08-09 13:31:00+00:00
OKB,OKB,okb,46.91210872024116,9086729.82108642,-0.43323094,2.30152109,0.84917696,2814726523.2144694,60000000.0,300000000.0,,2025-08-09 13:30:00+00:00
ONDO,Ondo,ondo-finance,1.0499067901014039,169124129.65462717,-0.26636206,3.52901718,19.04920245,3316768445.357568,3159107529.0,10000000000.0,,2025-08-09 13:30:00+00:00
OP,Optimism,optimism-ethereum,0.7894437266373122,321950437.1614398,-1.26288465,7.82549486,24.3228142,1383252892.1561377,1752186819.0,4294967296.0,4294967296.0,2025-08-09 13:31:00+00:00
PAXG,PAX Gold,pax-gold,3388.1184346734753,77933149.86495772,-0.04664903,0.13368684,0.74922482,962844268.6041355,284182.589,284182.589,,2025-08-09 13:31:00+00:00
PENDLE,Pendle,pendle,5.547237186472787,285274654.92073804,0.50463259,4.75190097,41.21052799,929282263.0981094,167521638.58509785,281527448.45853144,,2025-08-09 13:31:00+00:00
PENGU,Pudgy Penguins,pudgy-penguins,0.03834493785444638,640270150.9652106,-0.68447234,4.23015098,12.47144128,2410377981.578468,62860396090.04,88888888888.0,,2025-08-09 13:31:00+00:00
PEPE,Pepe,pepe,1.2497850326200581e-05,1141987183.879986,-0.78280644,12.42422973,21.06488396,5257719399.614329,420689899653543.56,420689899653543.56,420690000000000.0,2025-08-09 13:31:00+00:00
PI,Pi,pi,0.41508581212772555,174094534.827154,-0.83500601,14.80599879,15.58980387,3242104873.787993,7810685836.66832,100000000000.0,100000000000.0,2025-08-09 13:31:00+00:00
